"easting","northing","cityBlockNum","CU","PE","oanimal","I.NO","P.NO","open","infested","inspector","fitSet"
231536.039945,8183680.712874,712,0,0,0,0,0,0,0,39,0
231536.364015,8183466.490697,707,0,0,0,1,1,1,0,38,0
231536.380969,8183540.70296,710,0,0,0,0,0,0,0,39,0
231536.683614,8183841.891174,698,0,1,1,1,0,1,0,32,0
231536.883021,8183520.727872,710,0,1,0,1,0,1,0,18,0
231537.202159,8183791.108157,722,0,0,0,1,1,1,0,35,0
231537.403427,8183744.637809,723,0,0,0,0,0,0,0,43,0
231537.999855,8183633.989119,712,0,0,0,0,0,0,0,20,0
231538.560006,8183691.216046,712,0,0,0,0,0,0,0,39,0
231538.75502,8183799.08252,722,0,0,0,1,0,1,0,32,0
231539.099622,8183748.963251,723,0,0,0,0,0,0,0,39,0
231539.337738,8183845.883698,698,0,0,0,1,1,1,0,39,0
231540.254604,8183767.65403,723,0,0,0,0,0,0,0,35,0
231540.443729,8183637.030529,712,0,0,0,0,0,0,0,32,0
231540.692156,8183474.446452,707,0,0,0,0,0,0,0,20,0
231541.00382,8183566.654761,713,0,0,0,0,0,0,0,35,0
231541.688845,8183587.697296,713,0,0,0,0,0,0,0,43,0
231541.694601,8183527.822449,710,0,0,0,0,0,0,0,43,0
231541.737432,8183641.695328,712,0,0,1,1,1,1,0,38,0
231542.380698,8183852.531214,698,0,0,0,1,1,1,0,39,0
231542.746447,8183698.343483,712,0,0,0,0,0,0,0,43,0
231544.371635,8183754.676944,723,0,0,0,0,0,0,0,32,0
231545.146985,8183859.126428,698,0,0,0,0,0,0,0,35,0
231545.318447,8183481.726916,707,0,1,0,1,0,1,0,18,0
231545.627713,8183645.692749,712,0,0,0,0,0,0,0,20,0
231546.689416,8183455.095216,707,0,0,0,1,0,1,0,36,0
231546.928025,8183653.588103,712,0,1,0,1,1,1,0,18,0
231546.981738,8183535.079949,710,0,0,0,0,0,0,0,35,0
231547.499817,8183866.622488,698,0,0,0,1,0,1,0,39,0
231547.867898,8183596.774864,713,0,0,0,0,0,0,0,35,0
231547.998664,8183808.325912,722,0,0,0,1,0,1,0,35,0
231548.745694,8183763.763021,723,0,0,0,0,0,0,0,20,0
231549.089171,8183696.942386,712,0,1,1,1,1,1,0,39,0
231549.396842,8183562.083628,713,0,1,1,1,0,1,0,32,0
231549.537847,8183875.238471,698,0,1,0,1,0,1,0,20,0
231550.705474,8183884.270421,698,0,0,0,0,0,0,0,32,0
231551.501889,8183663.270316,712,0,0,0,0,0,0,0,35,0
231551.864944,8183447.973345,707,0,1,0,1,0,1,0,18,0
231553.270347,8183694.842893,712,0,1,0,1,1,1,0,39,0
231553.343405,8183819.075942,722,0,0,0,1,0,1,0,20,0
231553.487288,8183889.772497,698,0,1,1,1,1,1,0,32,0
231553.589336,8183604.414024,713,0,0,0,0,0,0,0,20,0
231554.067539,8183895.345697,698,0,1,0,1,1,1,0,32,0
231554.571476,8183501.931646,709,0,0,0,0,0,0,0,45,0
231554.697848,8183914.769977,698,0,1,1,1,0,1,0,20,0
231555.503485,8183902.83148,698,0,1,0,1,0,1,0,35,0
231555.536762,8183717.854547,720,0,0,0,0,0,0,0,20,0
