"X","Y","unicode","block_num","FR_D","FR_M","FR_A","opened","infested","p.i"
234240.701718,8181484.194207,"1.13.10.9",1008,19,12,6,0,0,0.209071710041414
234333.415004,8181367.372211,"1.13.10.90",1018,14,12,6,1,1,0.00705
234354.092617,8181367.385231,"1.13.10.91",1018,13,12,6,1,0,0.00304447944301062
234356.280165,8181358.065717,"1.13.10.92",1018,13,12,6,1,0,0.00291795942620491
234354.95342,8181347.297377,"1.13.10.93",1018,14,12,6,1,0,0.00288537734829842
234356.316057,8181339.397195,"1.13.10.94",1018,13,12,6,1,0,0.00285152583878519
234356.282076,8181329.038867,"1.13.10.95",1018,13,12,6,1,0,0.00291034283656443
234357.532438,8181318.90717,"1.13.10.96",1018,19,12,6,0,0,0.236501036012244
234356.067785,8181309.562959,"1.13.10.97",1018,13,12,6,1,0,0.00297973843106656
234338.602444,8181308.496183,"1.13.10.98",1018,19,12,6,0,0,0.336374993157674
234335.79082,8181319.279469,"1.13.10.99",1018,13,12,6,1,1,0.00705
234276.384493,8181189.954939,"1.13.11.1",1135,17,1,7,0,0,0.334334299321769
234349.530068,8181238.263083,"1.13.11.10",1137,17,1,7,1,0,0.00268946173699058
234363.700949,8181236.443031,"1.13.11.11",1137,17,1,7,0,0,0.140168282876178
234372.280287,8181211.277595,"1.13.11.12",1137,17,1,7,0,0,0.188424690054619
234410.329243,8181220.785363,"1.13.11.13",1138,17,1,7,0,0,0.248385076586039
234408.038759,8181235.943656,"1.13.11.14",1138,17,1,7,0,0,0.242202974671388
234427.190176,8181234.965731,"1.13.11.15",1138,17,1,7,0,0,0.246704505191765
234427.967232,8181225.698674,"1.13.11.16",1138,17,1,7,0,0,0.257388137626793
234427.909599,8181216.453651,"1.13.11.17",1138,17,1,7,0,0,0.262489872216554
234451.001173,8181228.438615,"1.13.11.18",1139,17,1,7,0,0,0.20739113864714
234462.723045,8181235.894633,"1.13.11.19",1139,17,1,7,1,0,0.00314603397155033
234272.229126,8181201.10745,"1.13.11.2",1135,17,1,7,0,0,0.337575401296441
234465.014816,8181224.436959,"1.13.11.20",1139,17,1,7,0,0,0.209311791669167
234521.995685,8181219.432682,"1.13.11.21",1140,17,1,7,0,0,0.380069849408799
234526.367846,8181206.10811,"1.13.11.22",1140,17,1,7,0,0,0.381390298361443
234531.85854,8181189.911492,"1.13.11.23",1140,17,1,7,1,0,0.00395296932957205
234562.548669,8181187.043546,"1.13.11.24",1141,17,1,7,0,0,0.635936844187024
234559.975494,8181196.117333,"1.13.11.25",1141,17,1,7,1,0,0.00547671040153652
234557.493533,8181207.070741,"1.13.11.26",1141,17,1,7,0,0,0.690975557349499
234554.248959,8181216.310773,"1.13.11.27",1141,17,1,7,1,1,0.00705
234576.135465,8181213.064382,"1.13.11.28",1141,17,1,7,1,1,0.00705
234580.321967,8181196.279727,"1.13.11.29",1141,17,1,7,1,1,0.00705
